period,BA,DM,DO,DS,NA,OL,OT,PB,PE,PF,PH,PI,PL,PM,PP,RF,RM,RO,SF,SH,SO
82.0,0.0,127.8181214143916,52.75899862151552,0.0,110.17558044596898,20.469314951434626,24.33814787682897,0.0,7.225023932697846,0.0,9.34423064767946,0.0,0.0,0.0,5.421141256874546,0.0,0.0,0.0,0.0,0.0,0.0
83.0,0.0,226.89359222546835,46.29330628494509,65.01603285350849,82.44393705482803,27.988032871682524,6.887513750978244,0.0,6.379496401312875,0.0,0.0,0.0,0.0,0.0,4.81879222833293,0.0,0.0,0.0,0.0,0.0,0.0
84.0,0.0,328.5335910202412,95.22006176059753,76.5635521351606,57.53821200685818,26.4238768868315,15.664259845793655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.726587194035089,0.0,0.0,0.0,0.0
85.0,0.0,207.9539110653216,78.39184415079696,29.25758919433293,0.0,31.93875970492499,19.14001945068094,0.0,13.453174388070178,0.0,0.0,0.0,0.0,5.147760180528526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,0.0,221.37369669392476,121.61052951434772,23.496419011337725,0.0,21.926930957381494,18.632095601318095,0.0,4.5857271840569656,0.0,0.0,0.0,0.0,12.915023932697846,0.0,0.0,2.011718792475728,0.0,0.0,0.0,0.0
87.0,0.0,252.95885201839405,59.90492007392192,30.485317584349072,0.0,70.15939489033353,6.472729830838108,0.0,23.218234523994305,0.0,0.0,0.0,0.0,6.472729830838108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,0.0,186.5396154123569,110.2522356974403,31.093013830283923,0.0,68.31520206648335,19.906298567069484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.378207709572401,0.0,0.0,0.0,0.0
89.0,0.0,204.55351005293105,90.92784088738755,71.94972516354397,0.0,20.24920812078796,6.472729830838108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.869448686138892,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.0,258.2354285316382,89.23941173774288,111.24461723664571,68.28136246998837,11.312726116711296,0.0,0.0,8.657466164784504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,0.0,271.69032173863764,89.75875119741005,98.29257935628378,184.1558285036332,20.775572933578236,11.022612127449698,0.0,7.469957938494653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
