Year,Month,Day,Precipitation,TempAirMax,TempAirMin,patch
1980,3,10,0,17,7,0
1980,3,11,5.08,17,4,0
1980,3,12,0,18,4,0
1980,3,13,0,21.5,6,0
1980,3,14,0,24.5,5,0
1980,3,15,0,23,7,0
1980,3,16,0,20,1.5,0
1980,3,17,0,15,0,0
1980,3,18,0,21.5,10,0
1980,3,19,0,17,-1,0
1980,3,20,0,18.5,3,0
1980,3,21,0,24.5,13,0
1980,3,22,0,20,3,0
1980,3,23,0,16,3,0
1980,3,24,0,18,5,0
1980,3,25,0,19.5,2.5,0
1980,3,26,0,20,2.5,0
1980,3,27,0,14,0.5,0
1980,3,28,0,15.5,1,0
1980,3,29,0,17.5,2,0
1980,3,30,0,17,8.5,0
1980,3,31,0,18,-0.5,0
1980,4,1,0,22,1.5,0
1980,4,2,0,18.5,1,0
1980,4,3,0,21,5.5,0
1980,4,4,0,26.5,7,0
1980,4,5,0,25.5,7,0
1980,4,6,0,24.5,8,0
1980,4,7,0,25,7,0
1980,4,8,0,25.5,7,0
1980,4,9,0,28.5,10,0
1980,4,10,0,29,9,0
1980,4,11,0,26,4,0
1980,4,12,0,9,-2,0
1980,4,13,0,14,-2,0
1980,4,14,0,23,10,0
1980,4,15,0,28,10,0
1980,4,16,0,28.5,11,0
1980,4,17,0,28,10,0
1980,4,18,0,29.5,11,0
1980,4,19,0,31,16.5,0
1980,4,20,0.254,30,16,0
1980,4,21,0,28,11,0
1980,4,22,0,27,6,0
1980,4,23,0,21,3,0
1980,4,24,0,15,8,0
1980,4,25,0,24,6.5,0
1980,4,26,0,25,12,0
1980,4,27,0,29,12,0
1980,4,28,0,30,15,0
1980,4,29,0,25,8,0
1980,4,30,0.254,20,4,0
1980,5,1,0.254,20,11,0
1980,5,2,0.254,25,11,0
1980,5,3,0,24,8,0
1980,5,4,0,27,11,0
1980,5,5,0,29,12,0
1980,5,6,0,28,15,0
1980,5,7,0,27,15,0
1980,5,8,0,29,13,0
1980,5,9,0,30,13,0
1980,5,10,0,28,14,0
1980,5,11,0,26,5,0
1980,5,12,0,26,8,0
1980,5,13,0,27.5,10,0
1980,5,14,0,27.5,10,0
1980,5,15,0,24,7,0
1980,5,16,0,26,11,0
1980,5,17,0,29,15,0
1980,5,18,0,30.5,12,0
1980,5,19,0,31,18,0
1980,5,20,0,34,14,0
1980,5,21,0,33,15,0
1980,5,22,0,31.5,11,0
1980,5,23,0,30,15,0
1980,5,24,0,28.5,2,0
1980,5,25,0,28.5,7,0
1980,5,26,0,30,16,0
1980,5,27,0,30,11,0
1980,5,28,0,31,8.5,0
1980,5,29,0,32,11,0
1980,5,30,0,33,13,0
1980,5,31,0,33.5,15,0
1980,6,1,0,32,10,0
1980,6,2,0,34,12,0
1980,6,3,0,35,16,0
1980,6,4,0,36,16.5,0
1980,6,5,0,37,16,0
1980,6,6,0,37,12,0
1980,6,7,0,38,19,0
1980,6,8,0,39,21,0
1980,6,9,8.382,35,16,0
1980,6,10,0,38,18,0
1980,6,11,0,37.5,17,0
1980,6,12,0,33,20,0
1980,6,13,0,39,21,0
1980,6,14,0,39.5,18,0
1980,6,15,0,40,19,0
1980,6,16,0,40,22,0
1980,6,17,0,40,22.5,0
1980,6,18,0,38,22,0
1980,6,19,0,37,22,0
1980,6,20,2.54,36,20,0
1980,6,21,0,36,19,0
1980,6,22,0,38,21,0
1980,6,23,0,40,20,0
1980,6,24,0,39,22.5,0
1980,6,25,0,39,21.5,0
1980,6,26,0,41,22,0
1980,6,27,0,40,23,0
1980,6,28,0,41,23,0
1980,6,29,0,40,22,0
1980,6,30,0,36,18,0
1980,7,1,0,32.5,22,0
1980,7,2,0,35.5,22.5,0
1980,7,3,0,38,21.5,0
1980,7,4,0,39,22,0
1980,7,5,0,39,23,0
1980,7,6,1.016,38,19,0
1980,7,7,0,33,20,0
1980,7,8,0,35,21.5,0
1980,7,9,8.89,36,19,0
1980,7,10,0,36,19.5,0
