"period","mo","dy","yr","date","plots"
238,12,28,1997,1997-12-28,24
239,1,31,1998,1998-01-31,24
240,3,1,1998,1998-03-01,24
241,3,29,1998,1998-03-29,12
242,5,2,1998,1998-05-02,24
243,5,28,1998,1998-05-28,24
244,6,27,1998,1998-06-27,24
245,7,18,1998,1998-07-18,24
246,8,22,1998,1998-08-22,24
247,9,19,1998,1998-09-19,24
248,10,24,1998,1998-10-24,24
249,11,21,1998,1998-11-21,24
250,12,22,1998,1998-12-22,24
251,1,16,1999,1999-01-16,24
252,2,20,1999,1999-02-20,23
253,3,14,1999,1999-03-14,24
254,4,17,1999,1999-04-17,24
255,5,15,1999,1999-05-15,24
256,6,12,1999,1999-06-12,24
257,9,11,1999,1999-09-11,24
258,10,9,1999,1999-10-09,24
259,11,6,1999,1999-11-06,24
260,12,5,1999,1999-12-05,24
261,1,8,2000,2000-01-08,24
262,2,5,2000,2000-02-05,24
263,3,4,2000,2000-03-04,23
264,4,29,2000,2000-04-29,24
265,6,3,2000,2000-06-03,24
266,7,1,2000,2000-07-01,24
267,7,22,2000,2000-07-22,14
268,8,25,2000,2000-08-25,24
269,9,30,2000,2000-09-30,24
270,11,25,2000,2000-11-25,24
271,12,22,2000,2000-12-22,24
272,1,21,2001,2001-01-21,22
273,3,3,2001,2001-03-03,23
274,3,24,2001,2001-03-24,24
275,4,21,2001,2001-04-21,24
276,5,26,2001,2001-05-26,24
277,6,25,2001,2001-06-25,12
278,7,22,2001,2001-07-22,12
279,8,25,2001,2001-08-25,24
280,9,22,2001,2001-09-22,24
281,10,13,2001,2001-10-13,24
282,11,17,2001,2001-11-17,24
283,12,15,2001,2001-12-15,12
284,1,12,2002,2002-01-12,11
285,2,9,2002,2002-02-09,24
286,3,13,2002,2002-03-13,24
287,4,16,2002,2002-04-16,24
288,5,15,2002,2002-05-15,24
289,6,15,2002,2002-06-15,24
290,7,13,2002,2002-07-13,24
291,9,8,2002,2002-09-08,24
292,10,5,2002,2002-10-05,24
293,11,9,2002,2002-11-09,24
294,12,7,2002,2002-12-07,24
295,12,29,2002,2002-12-29,24
296,2,1,2003,2003-02-01,24
297,3,6,2003,2003-03-06,24
298,3,29,2003,2003-03-29,24
299,5,3,2003,2003-05-03,24
300,5,28,2003,2003-05-28,24
301,6,28,2003,2003-06-28,24
302,7,28,2003,2003-07-28,24
303,8,23,2003,2003-08-23,24
304,9,27,2003,2003-09-27,24
305,10,25,2003,2003-10-25,24
306,11,22,2003,2003-11-22,23
307,12,20,2003,2003-12-20,24
308,1,24,2004,2004-01-24,24
309,2,21,2004,2004-02-21,24
310,3,17,2004,2004-03-17,24
311,4,17,2004,2004-04-17,23
312,5,17,2004,2004-05-17,24
313,6,19,2004,2004-06-19,22
314,7,18,2004,2004-07-18,23
315,8,19,2004,2004-08-19,24
316,9,11,2004,2004-09-11,24
317,10,16,2004,2004-10-16,24
318,11,13,2004,2004-11-13,12
319,12,11,2004,2004-12-11,24
320,1,15,2005,2005-01-15,24
321,3,12,2005,2005-03-12,23
322,4,9,2005,2005-04-09,24
323,5,7,2005,2005-05-07,23
324,6,4,2005,2005-06-04,24
325,7,9,2005,2005-07-09,24
326,8,6,2005,2005-08-06,24
327,9,3,2005,2005-09-03,24
328,9,30,2005,2005-09-30,24
329,11,5,2005,2005-11-05,24
330,12,9,2005,2005-12-09,24
